,State,Month,Year,NO2 Mean,O3 Mean,SO2 Mean,CO Mean,Deaths
0,Louisiana,1,2000,17.59857206451613,0.016468258064516128,6.058884951612903,0.7832194032258065,417
1,Louisiana,1,2001,20.18886858064516,0.014881225806451613,7.042890758064516,0.970738,338
2,Louisiana,1,2002,24.73922980645161,0.013475806451612903,3.8869201774193547,0.7493120161290323,244
3,Louisiana,1,2003,19.14373907142857,0.018270714285714286,4.378468589285714,0.6949881428571428,281
4,Louisiana,1,2004,20.151601903225806,0.014625741935483872,4.238760887096775,0.7808296935483872,286
5,Louisiana,1,2005,15.022736866666666,0.0152863,5.271024966666667,0.14762219999999998,289
6,Louisiana,1,2006,14.807931689655174,0.019776586206896554,3.174192784482759,0.4227867413793103,273
7,Louisiana,1,2007,13.525974096774194,0.013443516129032258,5.007935241935484,0.08286464516129033,254
8,Louisiana,1,2008,16.44600148387097,0.01634683870967742,3.3495121451612904,0.276773435483871,303
9,Louisiana,1,2009,16.813846,0.01555483870967742,3.211992177419355,0.24615156451612905,272
10,Louisiana,1,2010,15.68412229032258,0.02149922580645161,3.112697241935484,0.3933738225806452,306
11,Louisiana,2,2000,22.03477731034483,0.023253689655172414,3.1755924310344827,0.7224168448275862,237
12,Louisiana,2,2001,19.643133703703704,0.018173925925925927,7.3797230185185185,0.7654088148148148,225
13,Louisiana,2,2002,22.58187467857143,0.023151071428571427,4.522330035714286,0.642057125,288
14,Louisiana,2,2003,18.708679714285715,0.017562535714285715,3.8799850892857144,0.5340956428571428,229
15,Louisiana,2,2004,15.642246172413794,0.02190748275862069,3.3533327413793104,0.5033210517241379,266
16,Louisiana,2,2005,15.436486678571429,0.019886857142857144,5.7703633214285714,0.3289287678571428,333
17,Louisiana,2,2006,16.39959082142857,0.01890332142857143,5.845619017857143,0.285446875,259
18,Louisiana,2,2007,18.3611256,0.018260639999999998,6.0260179,0.21110488,224
19,Louisiana,2,2008,17.25666144827586,0.02080648275862069,4.093546413793104,0.32586451724137927,282
20,Louisiana,2,2009,14.501256214285714,0.024401678571428574,4.523189214285714,0.2606207678571429,246
21,Louisiana,2,2010,14.713844814814816,0.02437185185185185,2.5716986666666664,0.2500355185185185,292
22,Louisiana,3,2000,18.801171322580647,0.02355193548387097,2.8086021612903225,0.7536602903225808,194
23,Louisiana,3,2001,17.655015741935483,0.028497935483870966,8.349094096774193,0.8797805,270
24,Louisiana,3,2002,14.358908764705882,0.02142329411764706,2.839922647058824,0.6459320588235294,279
25,Louisiana,3,2003,17.688283548387094,0.019534967741935486,3.607939435483871,0.7627754677419355,222
26,Louisiana,3,2004,18.72393812903226,0.028455677419354838,3.063453177419355,0.6795690967741936,228
27,Louisiana,3,2005,16.15957964516129,0.02600748387096774,7.419729677419355,0.45401767741935484,304
28,Louisiana,3,2006,14.345596225806451,0.026853903225806452,2.8828619193548386,0.30887998387096777,251
29,Louisiana,3,2007,15.311482225806452,0.026626129032258063,5.012357838709677,0.5348567258064516,260
30,Louisiana,3,2008,14.367075161290321,0.028165,2.1566511612903225,0.242272,299
31,Louisiana,3,2009,12.560448322580646,0.025624645161290323,2.720266516129032,0.24534529032258065,245
32,Louisiana,3,2010,14.679838032258065,0.0324811935483871,2.3577718870967743,0.2801304677419355,263
33,Louisiana,4,2000,16.598398200000002,0.026996000000000003,3.1820829833333333,0.6569025833333334,200
34,Louisiana,4,2001,12.4175325,0.0298933,5.4616439166666675,0.74599085,283
35,Louisiana,4,2002,15.657762466666666,0.0251695,1.3618325833333331,0.8613007166666667,209
36,Louisiana,4,2003,17.093044533333334,0.0302994,4.424102199999999,0.77308875,221
37,Louisiana,4,2004,18.180339866666667,0.0319057,3.547483016666667,0.4714089166666667,221
38,Louisiana,4,2005,15.934053466666667,0.033059733333333334,7.128591083333333,0.19670463333333332,221
39,Louisiana,4,2006,14.0238962,0.027741666666666668,1.60701795,0.2346045,215
40,Louisiana,4,2007,14.398927266666668,0.0315806,5.9991539666666664,0.7461813833333333,235
41,Louisiana,4,2008,14.394624766666668,0.0272931,2.4633101666666666,0.26671906666666667,236
42,Louisiana,4,2009,11.142709966666667,0.033631900000000006,1.39469935,0.21137565,253
43,Louisiana,4,2010,10.251623666666667,0.0341944,0.9424369333333333,0.23227011666666667,237
44,Louisiana,5,2000,14.053208387096774,0.024118,2.106670483870968,0.6564380967741935,208
45,Louisiana,5,2001,13.513179137931035,0.03042310344827586,2.543408706896552,0.5903544655172414,245
46,Louisiana,5,2002,15.078438346938775,0.031563632653061224,1.0492069795918366,0.5764893673469388,194
47,Louisiana,5,2003,12.485769451612903,0.027397870967741936,2.3248371290322583,0.45955988709677414,232
48,Louisiana,5,2004,15.759357000000001,0.02377154838709677,1.2074195967741936,0.36637159677419356,200
49,Louisiana,5,2005,13.427363451612903,0.03571367741935484,4.235216919354838,0.4225659516129032,232
50,Louisiana,5,2006,16.04862006451613,0.025236612903225805,3.2922775161290323,0.39754,197
51,Louisiana,5,2007,14.914195533333332,0.03220693333333333,1.4886112500000002,0.45430376666666666,198
52,Louisiana,5,2008,11.326281193548386,0.030111064516129032,1.6809245645161288,0.24615574193548387,220
53,Louisiana,5,2009,12.491790935483872,0.024142387096774194,1.9490495,0.1988416935483871,266
54,Louisiana,5,2010,10.589646444444444,0.028979925925925926,0.4614212222222222,0.21741635185185185,220
55,Louisiana,6,2000,14.5428154,0.02056893333333333,2.0721713,0.8143068666666667,209
56,Louisiana,6,2001,13.5779073,0.023097133333333335,1.8550526666666667,0.7923639833333334,200
