State,Month,Year,NO2 Mean,O3 Mean,SO2 Mean,CO Mean,Deaths,% of Total Deaths
California,1,2000,22.681606506939374,0.01311145872899927,1.7854489130752376,1.0279054784514245,3786,0.20%
California,1,2001,24.87895323455056,0.014499230337078652,1.9266114389044944,1.0151827598314607,2450,0.10%
California,1,2002,22.126760295717595,0.013621558449074075,1.7977071105324074,0.9119221302083333,2257,0.10%
California,1,2003,22.289633154261704,0.011629628451380552,1.8406915453181274,0.922266650660264,2250,0.10%
California,1,2004,20.979846540616247,0.014650619047619048,1.548441898459384,0.8271998112745098,2804,0.10%
California,1,2005,17.450795703311258,0.015146565562913909,1.7514206139072845,0.6085827688741722,2238,0.10%
California,1,2006,17.568332388508892,0.017699463748290012,1.5166159692202463,0.5956646279069767,2683,0.10%
California,1,2007,19.55815002484472,0.017181489993098688,1.831674738095238,0.6390351394064873,2300,0.10%
California,1,2008,15.322484787063537,0.020076350314825412,1.1541917069261591,0.5214718219805381,2364,0.10%
California,1,2009,18.415207638854294,0.015125764632627646,1.209684095890411,0.5683628854296389,2081,0.10%
California,1,2010,18.630921508032127,0.015626342034805892,1.0065242640562249,0.5441855341365462,2181,0.10%
California,2,2000,17.639380305084746,0.02124701848998459,1.258260000770416,0.6705967457627119,2017,0.10%
California,2,2001,19.165434121766815,0.01961658853959411,1.4812128380421807,0.7428127616394747,2207,0.10%
California,2,2002,22.954635950841748,0.018732965656565657,1.9481203016835016,0.8802273040404041,2360,0.10%
California,2,2003,16.90911416761543,0.020174581277672358,1.4215028080328906,0.6432635907653383,2074,0.10%
California,2,2004,18.607423828148146,0.02059007111111111,1.398400368148148,0.6477130370370371,2235,0.10%
California,2,2005,15.65357802616279,0.019561863372093025,1.4233021395348837,0.5062851359011628,2114,0.10%
California,2,2006,19.887989789156627,0.021294188253012047,1.3753535195783133,0.6230832899096386,2110,0.10%
California,2,2007,15.424664917573875,0.02307861430793157,1.515449135303266,0.5057677869362364,2154,0.10%
California,2,2008,15.445909746107784,0.022215750898203594,1.035702086227545,0.5207524538922156,2746,0.10%
California,2,2009,14.49566626684636,0.02197317115902965,1.0555196556603774,0.42588615902964955,1954,0.10%
California,2,2010,14.927041459415584,0.020783866071428573,0.7760483534902597,0.42520296266233765,1950,0.10%
California,3,2000,16.930086956580734,0.02698431682496608,1.5608092947761192,0.5726308032564451,2107,0.10%
California,3,2001,17.245874770731707,0.026141136585365855,1.9184607597560976,0.6181470018292683,2338,0.10%
California,3,2002,16.551779040626812,0.027497180499129425,1.4674207167730702,0.558300880441091,2492,0.10%
California,3,2003,15.486808358128375,0.026342616076784644,1.3069478842231554,0.5358134961007799,2359,0.10%
California,3,2004,18.76932987804878,0.027162414634146342,1.695918862266858,0.5738630796269728,2166,0.10%
California,3,2005,13.50214133787466,0.027825694822888283,1.5131404591280655,0.44916015599455045,2232,0.10%
California,3,2006,12.307337008086254,0.029006004043126685,0.9300338962264151,0.41610182277628033,2275,0.10%
California,3,2007,15.083873298200514,0.027441867609254496,1.1970843566838045,0.4169540057840617,2129,0.10%
California,3,2008,13.509023217342342,0.029194820945945946,1.041042884572072,0.37515560416666666,2510,0.10%
California,3,2009,12.019616080254776,0.029858712101910826,1.082336001910828,0.3672963121019108,2066,0.10%
California,3,2010,12.994866711594202,0.028720346376811597,0.7976582188405797,0.3254907543478261,2317,0.10%
California,4,2000,15.240846867318437,0.031270861731843576,1.4491734392458102,0.5333552115921788,1683,0.10%
California,4,2001,13.871829833223032,0.032419756452680346,1.5266863977498346,0.45094166446062206,2119,0.10%
California,4,2002,12.53983470556872,0.03145056398104265,1.2999265379146918,0.44016987440758293,2037,0.10%
California,4,2003,11.225791282338308,0.03406340796019901,1.205378406716418,0.40756353482587065,1945,0.10%
California,4,2004,12.026708165137615,0.03552979736737136,1.8115996449940166,0.46774308934982045,1849,0.10%
California,4,2005,12.062418836762689,0.03243333196159122,1.382499327160494,0.40124138408779153,2000,0.10%
California,4,2006,10.556803329608938,0.030770386871508383,0.964112909916201,0.38813774441340787,1971,0.10%
California,4,2007,10.153266397225725,0.03447898865069357,1.107876736443884,0.3671902925598991,1878,0.10%
California,4,2008,11.465743723577235,0.036856296167247386,1.0362422444831592,0.3187042479674797,2000,0.10%
California,4,2009,10.70302392244898,0.035663103401360544,1.1873756136054423,0.3772934292517007,1831,0.10%
California,4,2010,9.188868894736842,0.03315000309597523,0.6499619806501549,0.29973640557275544,1924,0.10%
California,5,2000,13.672838584985836,0.0322773611898017,1.7671036175637396,0.4441593016997167,1675,0.10%
California,5,2001,15.204309616840732,0.03584067101827676,1.7051968766318537,0.4595953913185378,2053,0.10%
California,5,2002,11.79588302724177,0.034759968217934166,1.279935216799092,0.3829827803632236,1910,0.10%
California,5,2003,12.469390094577552,0.035381116015132406,1.495272734552333,0.44228733858764185,1895,0.10%
California,5,2004,11.67763360804769,0.03455997690014903,1.5263423852459017,0.4335952216840537,1712,0.10%
California,5,2005,9.521087023762377,0.03216082508250825,1.2474309755775577,0.33467129372937293,2004,0.10%
California,5,2006,9.890279881309686,0.03625003683492496,1.1891231180081854,0.320624514324693,1786,0.10%
California,5,2007,8.952438961514966,0.03850717715332926,0.9794728808796579,0.29440562186927305,1807,0.10%
California,5,2008,8.88611410620525,0.0365293830548926,0.9097613752983293,0.2850895316229117,1762,0.10%
California,5,2009,8.870648573627845,0.034206281124497986,1.0612728165997323,0.28571427878179384,1802,0.10%
California,5,2010,7.587130922846442,0.033433355056179774,0.7196477370786517,0.2594376254681648,1819,0.10%
